Datetime,Open,High,Low,Close,Volume,ticker
2021-04-22 13:45:00+05:30,4650.89990234375,4662,4646.0498046875,4659.5,68940,BAJFINANCE.NS
2021-04-22 14:00:00+05:30,4660,4688,4660,4682.64990234375,156591,BAJFINANCE.NS
2021-04-22 14:15:00+05:30,4683,4683.89990234375,4661.35009765625,4681.25,99092,BAJFINANCE.NS
2021-04-22 14:30:00+05:30,4681.0498046875,4707.5498046875,4674,4701,271695,BAJFINANCE.NS
2021-04-22 14:45:00+05:30,4699.9501953125,4712.2001953125,4683.85009765625,4690.35009765625,122470,BAJFINANCE.NS
2021-04-22 15:00:00+05:30,4688.25,4699,4680.14990234375,4683.0498046875,113692,BAJFINANCE.NS
2021-04-22 15:15:00+05:30,4684,4705,4675.2998046875,4683.5,165487,BAJFINANCE.NS
2021-04-23 09:15:00+05:30,4630,4664,4622.4501953125,4622.7998046875,118946,BAJFINANCE.NS
2021-04-23 09:30:00+05:30,4624,4649,4611,4645.25,150389,BAJFINANCE.NS
2021-04-23 09:45:00+05:30,4644.0498046875,4658,4632.4501953125,4653,93606,BAJFINANCE.NS
2021-04-23 10:00:00+05:30,4651.4501953125,4674.75,4642,4673.5,128444,BAJFINANCE.NS
2021-04-23 10:15:00+05:30,4675,4693,4668.7998046875,4693,142902,BAJFINANCE.NS
2021-04-23 10:30:00+05:30,4691.64990234375,4718.7998046875,4680.7998046875,4705.85009765625,160769,BAJFINANCE.NS
2021-04-23 10:45:00+05:30,4703.60009765625,4725,4696.85009765625,4719,104677,BAJFINANCE.NS
2021-04-23 11:00:00+05:30,4722,4749.9501953125,4721.35009765625,4742,177684,BAJFINANCE.NS
2021-04-23 11:15:00+05:30,4743.89990234375,4745,4724.10009765625,4736.5498046875,73594,BAJFINANCE.NS
2021-04-23 11:30:00+05:30,4737.2001953125,4748,4730.10009765625,4745,54598,BAJFINANCE.NS
2021-04-23 11:45:00+05:30,4744.0498046875,4745,4727,4728.4501953125,55569,BAJFINANCE.NS
2021-04-23 12:00:00+05:30,4729.60009765625,4759.60009765625,4728.4501953125,4741,98749,BAJFINANCE.NS
2021-04-23 12:15:00+05:30,4741.39990234375,4741.60009765625,4684.14990234375,4690.2001953125,204613,BAJFINANCE.NS
2021-04-23 12:30:00+05:30,4691.7001953125,4717.7998046875,4690.25,4716.60009765625,77368,BAJFINANCE.NS
2021-04-23 12:45:00+05:30,4716.89990234375,4718,4693.2998046875,4694.39990234375,70517,BAJFINANCE.NS
2021-04-23 13:00:00+05:30,4695,4717,4693.64990234375,4707.2998046875,49551,BAJFINANCE.NS
2021-04-23 13:15:00+05:30,4707.2998046875,4735,4702.25,4734.89990234375,69069,BAJFINANCE.NS
2021-04-23 13:30:00+05:30,4734.9501953125,4734.9501953125,4681.39990234375,4696.75,133637,BAJFINANCE.NS
2021-04-23 13:45:00+05:30,4698,4706.7998046875,4682.7998046875,4695,66087,BAJFINANCE.NS
